barrio,tipo_delito,timestamp,geometry,site,edge,lane
VILLA SOLDATI,Lesiones Seg Vial,2017-12-30 18:10:00,POINT (-58.4385 -34.6555),VARELA AV. 2812,3.5,0
LINIERS,Lesiones Seg Vial,2017-12-30 22:00:00,POINT (-58.5203 -34.6542),"CASTRO, EMILIO AV. 7302",4.6,0
LINIERS,Lesiones Seg Vial,2017-12-30 18:00:00,POINT (-58.5212 -34.6389),RIVADAVIA AV. 11097,0.8,0
VILLA DEVOTO,Lesiones Seg Vial,2017-12-30 19:00:00,POINT (-58.524 -34.6133),"BEIRO, FRANCISCO AV. 5232",1.5,0
MONSERRAT,Lesiones Seg Vial,2017-12-30 00:05:00,POINT (-58.368 -34.6122),BELGRANO AV. 124,2.4,1
BALVANERA,Lesiones Seg Vial,2017-12-30 06:10:00,POINT (-58.3929 -34.6047),CORRIENTES AV. 1838,56.2,0
VILLA DEL PARQUE,Lesiones Seg Vial,2017-12-30 19:00:00,POINT (-58.4992 -34.6037),"LOZANO, PEDRO 3592",3.9,0
VILLA CRESPO,Lesiones Seg Vial,2017-12-30 05:25:00,POINT (-58.4477 -34.6017),TRES ARROYOS 309,4.7,1
VILLA DEL PARQUE,Lesiones Seg Vial,2017-12-30 10:00:00,POINT (-58.4811 -34.5998),EMPEDRADO 2386,28.6,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-12-30 17:30:00,POINT (-58.5054 -34.5895),CUENCA 4609,4.0,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-12-30 14:00:00,POINT (-58.5035 -34.5871),MOSCONI GENERAL AV. 3022,3.1,0
PALERMO,Lesiones Seg Vial,2017-12-30 13:00:00,POINT (-58.4213 -34.5736),GODOY CRUZ 3208,4.6,0
BELGRANO,Lesiones Seg Vial,2017-12-30 15:20:00,POINT (-58.4603 -34.5642),JURAMENTO AV. 2796,3.4,0
VILLA LUGANO,Lesiones Seg Vial,2017-12-29 17:30:00,POINT (-58.4699 -34.6763),LARRAYA 4101,70.4,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-12-29 15:15:00,POINT (-58.4108 -34.6539),"ALCORTA, AMANCIO AV. 3655",51.0,0
MATADEROS,Lesiones Seg Vial,2017-12-29 17:00:00,POINT (-58.49 -34.6516),TANDIL 5021,0.7,0
LINIERS,Lesiones Seg Vial,2017-12-29 13:15:00,POINT (-58.523 -34.6491),TONELERO 7064,17.2,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-12-29 22:45:00,POINT (-58.4858 -34.6464),DIRECTORIO AV. 4470,32.4,0
VILLA LURO,Lesiones Seg Vial,2017-12-29 19:09:00,POINT (-58.5022 -34.642),"SCHMIDL, ULRICO 5297",3.2,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-12-29 16:45:00,POINT (-58.4202 -34.6406),"POMAR, GREGORIO TTE. CNEL. 4171",14.1,0
FLORES,Lesiones Seg Vial,2017-12-29 08:20:00,POINT (-58.4697 -34.6307),RIVADAVIA AV. 7409,5.1,0
FLORES,Lesiones Seg Vial,2017-12-29 14:15:00,POINT (-58.4641 -34.6293),PEDERNERA 37,5.6,0
MONTE CASTRO,Lesiones Seg Vial,2017-12-29 02:00:00,POINT (-58.509 -34.622),CERVANTES 1896,3.9,0
SAN TELMO,Lesiones Seg Vial,2017-12-29 10:30:00,POINT (-58.3688 -34.6183),PASEO COLON AV. 950,3.6,0
BALVANERA,Lesiones Seg Vial,2017-12-29 11:20:00,POINT (-58.4117 -34.6118),24 DE NOVIEMBRE 91,6.1,0
CABALLITO,Lesiones Seg Vial,2017-12-29 18:45:00,POINT (-58.452 -34.6062),SAN MARTIN AV. 1596,2.5,0
SAN NICOLAS,Lesiones Seg Vial,2017-12-29 22:40:00,POINT (-58.3924 -34.6031),CALLAO AV. 501,5.9,0
SAN NICOLAS,Lesiones Seg Vial,2017-12-29 04:30:00,POINT (-58.3839 -34.6014),LIBERTAD 606,5.6,1
VILLA CRESPO,Lesiones Seg Vial,2017-12-29 21:30:00,POINT (-58.4458 -34.6006),GURRUCHAGA 50,4.9,1
VILLA DEL PARQUE,Lesiones Seg Vial,2017-12-29 19:30:00,POINT (-58.5021 -34.5996),"BEIRO, FRANCISCO AV. 3489",30.4,0
BALVANERA,Lesiones Seg Vial,2017-12-29 12:00:00,POINT (-58.4038 -34.5989),PUEYRREDON AV. 973,49.5,0
PALERMO,Lesiones Seg Vial,2017-12-29 10:00:00,POINT (-58.4145 -34.5881),"SALGUERO, JERONIMO 1904",7.1,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-12-29 10:15:00,POINT (-58.491 -34.5829),DE LOS CONSTITUYENTES AV. 4399,4.1,0
VILLA URQUIZA,Lesiones Seg Vial,2017-12-29 09:45:00,POINT (-58.503 -34.5735),DE LOS CONSTITUYENTES AV. 5805,1.7,0
VILLA LUGANO,Lesiones Seg Vial,2017-12-28 10:00:00,POINT (-58.4715 -34.6737),"BATLLE Y ORDOÑEZ, JOSE P.T. 4901",4.5,0
VILLA SOLDATI,Lesiones Seg Vial,2017-12-28 18:15:00,POINT (-58.4446 -34.6609),"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 3195",9.6,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-12-28 05:00:00,POINT (-58.469 -34.6487),"PERON, EVA AV. 3923",41.7,0
LINIERS,Lesiones Seg Vial,2017-12-28 18:00:00,POINT (-58.526 -34.6458),MONTIEL 591,5.4,0
BARRACAS,Lesiones Seg Vial,2017-12-28 21:30:00,POINT (-58.3781 -34.6367),"VALLE, ARISTOBULO DEL 1914",3.2,1
FLORES,Lesiones Seg Vial,2017-12-28 11:30:00,POINT (-58.4723 -34.6345),"ALBERDI, JUAN BAUTISTA AV. 3208",2.8,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-12-28 08:30:00,POINT (-58.4081 -34.6321),"URQUIZA, GRAL. 1795",0.6,0
FLORES,Lesiones Seg Vial,2017-12-28 18:30:00,POINT (-58.4697 -34.6307),RIVADAVIA AV. 7409,5.1,0
CONSTITUCION,Lesiones Seg Vial,2017-12-28 19:00:00,POINT (-58.3785 -34.6275),"IRIGOYEN, BERNARDO DE 1499",1.4,1
PUERTO MADERO,Lesiones Seg Vial,2017-12-28 20:30:00,POINT (-58.3655 -34.6239),"GARAY, JUAN DE AV. 34",2.0,1
BALVANERA,Lesiones Seg Vial,2017-12-28 20:45:00,POINT (-58.4059 -34.6101),RIVADAVIA AV. 2903,6.6,1
CABALLITO,Lesiones Seg Vial,2017-12-28 11:00:00,POINT (-58.4478 -34.6074),SAN MARTIN AV. 1316,67.1,0
SAN NICOLAS,Lesiones Seg Vial,2017-12-28 01:50:00,POINT (-58.3685 -34.6069),LA RABIDA (N) AV. 90,14.6,0
VILLA GRAL. MITRE,Lesiones Seg Vial,2017-12-28 14:35:00,POINT (-58.4605 -34.6059),"OROÑO, NICASIO 1699",2.0,0
CABALLITO,Lesiones Seg Vial,2017-12-28 19:10:00,POINT (-58.4562 -34.6054),SAN MARTIN AV. 1960,4.5,0
AGRONOMIA,Lesiones Seg Vial,2017-12-28 18:45:00,POINT (-58.4798 -34.5993),SAN MARTIN AV. 4102,4.6,0
RECOLETA,Lesiones Seg Vial,2017-12-28 16:00:00,POINT (-58.3948 -34.5973),RIOBAMBA 992,3.2,1
RETIRO,Lesiones Seg Vial,2017-12-28 06:45:00,POINT (-58.382 -34.5888),DEL LIBERTADOR AV. 602,11.2,1
PALERMO,Lesiones Seg Vial,2017-12-28 16:30:00,POINT (-58.4202 -34.5878),"SCALABRINI ORTIZ, RAUL AV. 2099",2.8,0
PALERMO,Lesiones Seg Vial,2017-12-28 07:45:00,POINT (-58.4174 -34.5861),GUEMES 3990,4.1,0
PALERMO,Lesiones Seg Vial,2017-12-28 07:04:00,POINT (-58.4302 -34.5843),NICARAGUA 5193,3.6,1
COLEGIALES,Lesiones Seg Vial,2017-12-28 12:15:00,POINT (-58.4426 -34.5712),GOROSTIAGA 2402,9.3,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-12-28 13:45:00,POINT (-58.5091 -34.57),"PAZ, GRAL. AV. 4998",5.0,0
PALERMO,Lesiones Seg Vial,2017-12-28 16:25:00,POINT (-58.4404 -34.5654),"LACROZE, FEDERICO AV. 1906",6.4,0
PALERMO,Lesiones Seg Vial,2017-12-28 15:30:00,POINT (-58.4392 -34.5628),DEL LIBERTADOR AV. 5178,38.8,1
BELGRANO,Lesiones Seg Vial,2017-12-28 11:00:00,POINT (-58.4575 -34.5611),CABILDO AV. 2190,1.7,0
LINIERS,Lesiones Seg Vial,2017-12-27 06:15:00,POINT (-58.5256 -34.6346),"JUSTO, JUAN B. AV. 9592",1.7,0
LINIERS,Lesiones Seg Vial,2017-12-27 20:15:00,POINT (-58.5174 -34.633),"JUSTO, JUAN B. AV. 9111",25.3,0
PARQUE CHACABUCO,Lesiones Seg Vial,2017-12-27 15:41:00,POINT (-58.4429 -34.6293),"MITRE, EMILIO 530",5.0,0
FLORES,Lesiones Seg Vial,2017-12-27 18:50:00,POINT (-58.462 -34.6289),RIVADAVIA AV. 6860,59.8,0
FLORESTA,Lesiones Seg Vial,2017-12-27 15:30:00,POINT (-58.4763 -34.6262),"ARANGUREN, JUAN F., DR. 3201",22.6,0
CABALLITO,Lesiones Seg Vial,2017-12-27 13:30:00,POINT (-58.4446 -34.626),"MARTINEZ, VICTOR 331",2.7,0
CONSTITUCION,Lesiones Seg Vial,2017-12-27 19:10:00,POINT (-58.3829 -34.6247),CONSTITUCION 1206,3.0,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-12-27 14:30:00,POINT (-58.4004 -34.6235),ALBERTI 1186,6.4,0
MONSERRAT,Lesiones Seg Vial,2017-12-27 16:05:00,POINT (-58.3917 -34.6138),ENTRE RIOS AV. 390,2.4,1
BALVANERA,Lesiones Seg Vial,2017-12-27 17:40:00,POINT (-58.3988 -34.6098),RIVADAVIA AV. 2280,27.1,1
CABALLITO,Lesiones Seg Vial,2017-12-27 13:00:00,POINT (-58.4331 -34.6056),PATRICIAS ARGENTINAS AV. 291,6.2,1
BALVANERA,Lesiones Seg Vial,2017-12-27 13:30:00,POINT (-58.3988 -34.6046),CORRIENTES AV. 2251,52.7,1
ALMAGRO,Lesiones Seg Vial,2017-12-27 07:00:00,POINT (-58.4156 -34.6038),CORRIENTES AV. 3591,5.7,1
VILLA CRESPO,Lesiones Seg Vial,2017-12-27 13:11:00,POINT (-58.4421 -34.6025),WARNES AV. 354,45.9,0
BALVANERA,Lesiones Seg Vial,2017-12-27 18:30:00,POINT (-58.4045 -34.6009),PUEYRREDON AV. 789,1.8,0
SAN NICOLAS,Lesiones Seg Vial,2017-12-27 17:40:00,POINT (-58.375 -34.5998),VIAMONTE 577,34.6,0
RECOLETA,Lesiones Seg Vial,2017-12-27 23:00:00,POINT (-58.4043 -34.5895),AGUERO 1902,6.5,0
AGRONOMIA,Lesiones Seg Vial,2017-12-27 21:00:00,POINT (-58.4881 -34.5855),DE LOS CONSTITUYENTES AV. 4001,5.2,1
RETIRO,Lesiones Seg Vial,2017-12-27 15:30:00,POINT (-58.3767 -34.5806),ANTARTIDA ARGENTINA AV. 1480,43.4,0
VILLA URQUIZA,Lesiones Seg Vial,2017-12-27 07:30:00,POINT (-58.4997 -34.5761),BAZURCO 2202,3.5,0
PALERMO,Lesiones Seg Vial,2017-12-27 13:40:00,POINT (-58.4118 -34.5718),"FIGUEROA ALCORTA, PRES. AV. 4300",5.2,0
COLEGIALES,Lesiones Seg Vial,2017-12-27 11:40:00,POINT (-58.4481 -34.5683),CESPEDES 2383,4.5,0
NUÑEZ,Lesiones Seg Vial,2017-12-27 16:15:00,POINT (-58.466 -34.5346),DEL LIBERTADOR AV. 8601,8.7,1
LINIERS,Lesiones Seg Vial,2017-12-26 17:15:00,POINT (-58.5192 -34.6537),"CASTRO, EMILIO AV. 7204",1.5,0
BARRACAS,Lesiones Seg Vial,2017-12-26 17:30:00,POINT (-58.4045 -34.6493),IGUAZU 991,13.5,0
LINIERS,Lesiones Seg Vial,2017-12-26 19:00:00,POINT (-58.517 -34.6485),ALPATACAL 6614,3.9,0
MATADEROS,Lesiones Seg Vial,2017-12-26 13:40:00,POINT (-58.4961 -34.6456),GUARDIA NACIONAL 877,7.5,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-12-26 15:30:00,POINT (-58.4921 -34.6435),WHITE 608,18.8,0
FLORES,Lesiones Seg Vial,2017-12-26 21:35:00,POINT (-58.4702 -34.6363),"MARTI, JOSE 398",2.4,0
BARRACAS,Lesiones Seg Vial,2017-12-26 18:45:00,POINT (-58.3705 -34.6308),PI Y MARGALL 1181,3.8,0
BARRACAS,Lesiones Seg Vial,2017-12-26 19:00:00,POINT (-58.3728 -34.6303),USPALLATA 608,5.3,1
PARQUE PATRICIOS,Lesiones Seg Vial,2017-12-26 02:00:00,POINT (-58.4099 -34.6299),"GARAY, JUAN DE AV. 3201",2.7,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-12-26 21:15:00,POINT (-58.4084 -34.6295),"GARAY, JUAN DE AV. 3101",2.2,0
CONSTITUCION,Lesiones Seg Vial,2017-12-26 22:32:00,POINT (-58.3883 -34.6272),"CEVALLOS, VIRREY 1611",4.2,1
SAN CRISTOBAL,Lesiones Seg Vial,2017-12-26 23:00:00,POINT (-58.3916 -34.6215),ENTRE RIOS AV. 1093,6.5,0
CABALLITO,Lesiones Seg Vial,2017-12-26 18:10:00,POINT (-58.4431 -34.6199),YERBAL 896,17.7,0
VILLA SANTA RITA,Lesiones Seg Vial,2017-12-26 11:45:00,POINT (-58.479 -34.6144),"DIAZ, CESAR, GRAL. 2883",3.1,1
MONTE CASTRO,Lesiones Seg Vial,2017-12-26 11:15:00,POINT (-58.5001 -34.6133),CHIVILCOY 2224,29.9,1
SAN NICOLAS,Lesiones Seg Vial,2017-12-26 13:15:00,POINT (-58.3718 -34.603),CORRIENTES AV. 345,62.4,1
BALVANERA,Lesiones Seg Vial,2017-12-26 19:00:00,POINT (-58.3944 -34.5997),CORDOBA AV. 1950,3.0,0
PALERMO,Lesiones Seg Vial,2017-12-26 19:45:00,POINT (-58.4272 -34.5788),"JUSTO, JUAN B. AV. 663",92.3,0
MATADEROS,Homicidio Seg Vial,2017-12-26 15:30:00,POINT (-58.482 -34.6598),"PERON, EVA AV. 5251",46.8,0
LINIERS,Lesiones Seg Vial,2017-12-25 17:45:00,POINT (-58.5091 -34.6444),ACASSUSO 5916,3.7,0
VILLA LURO,Lesiones Seg Vial,2017-12-25 02:30:00,POINT (-58.5074 -34.6386),ECHENAGUCIA 20,5.5,0
PARQUE CHACABUCO,Lesiones Seg Vial,2017-12-25 03:45:00,POINT (-58.4532 -34.6336),CARABOBO AV. 602,15.0,0
VERSALLES,Lesiones Seg Vial,2017-12-25 08:25:00,POINT (-58.5297 -34.629),FRAGUEIRO 885,9.9,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-12-25 10:15:00,POINT (-58.4035 -34.6239),SAN JUAN AV. 2771,1.1,0
SAN TELMO,Lesiones Seg Vial,2017-12-25 20:15:00,POINT (-58.3703 -34.6224),DEFENSA 1250,65.7,0
FLORES,Lesiones Seg Vial,2017-12-25 03:45:00,POINT (-58.4617 -34.6195),BOYACA 695,1.8,0
ALMAGRO,Lesiones Seg Vial,2017-12-25 10:45:00,POINT (-58.416 -34.6094),BILLINGHURST 112,7.1,1
RECOLETA,Lesiones Seg Vial,2017-12-25 10:45:00,POINT (-58.4146 -34.5979),CORDOBA AV. 3398,3.0,1
VILLA DEVOTO,Lesiones Seg Vial,2017-12-25 02:20:00,POINT (-58.5167 -34.5862),"PAZ, GRAL. AV. 6100",3.2,0
BELGRANO,Lesiones Seg Vial,2017-12-25 14:50:00,POINT (-58.4605 -34.5558),"UGARTE, MANUEL 2297",3.8,0
VILLA LUGANO,Lesiones Seg Vial,2017-12-24 09:15:00,POINT (-58.4881 -34.685),"PAZ, GRAL. AV. 15480",23.9,0
VILLA LUGANO,Lesiones Seg Vial,2017-12-24 10:15:00,POINT (-58.4784 -34.6773),CAFAYATE 4054,4.6,0
MATADEROS,Lesiones Seg Vial,2017-12-24 00:45:00,POINT (-58.4788 -34.6578),OLIVERA AV. 1600,4.0,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-12-24 22:30:00,POINT (-58.4053 -34.6551),SANTO DOMINGO 3930,1.0,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-12-24 12:45:00,POINT (-58.4119 -34.6495),CACHI 563,0.6,0
VERSALLES,Lesiones Seg Vial,2017-12-24 04:00:00,POINT (-58.5207 -34.6293),LASCANO 6156,53.7,0
CABALLITO,Lesiones Seg Vial,2017-12-24 19:00:00,POINT (-58.4478 -34.6179),AVELLANEDA 1156,17.8,0
VILLA DEVOTO,Lesiones Seg Vial,2017-12-24 07:27:00,POINT (-58.5112 -34.602),"MORAN, PEDRO 4080",2.3,0
RECOLETA,Lesiones Seg Vial,2017-12-24 09:15:00,POINT (-58.4013 -34.5727),"SALGUERO, JERONIMO 3457",18.8,0
VILLA LUGANO,Lesiones Seg Vial,2017-12-23 20:40:00,POINT (-58.4671 -34.6748),MIRALLA 3999,11.9,0
MATADEROS,Lesiones Seg Vial,2017-12-23 17:30:00,POINT (-58.4978 -34.6474),"ALBERDI, JUAN BAUTISTA AV. 5242",45.9,0
BARRACAS,Lesiones Seg Vial,2017-12-23 19:45:00,POINT (-58.3746 -34.646),"HORNOS, GRAL. 1722",112.3,1
LINIERS,Lesiones Seg Vial,2017-12-23 16:40:00,POINT (-58.5286 -34.6393),CUZCO 99,18.0,0
LINIERS,Lesiones Seg Vial,2017-12-23 12:49:00,POINT (-58.5251 -34.639),BARRAGAN 102,3.3,0
VELEZ SARSFIELD,Lesiones Seg Vial,2017-12-23 04:15:00,POINT (-58.4854 -34.6347),RIVADAVIA AV. 8636,2.3,0
FLORES,Lesiones Seg Vial,2017-12-23 11:30:00,POINT (-58.4685 -34.6333),"ALBERDI, JUAN BAUTISTA AV. 2895",1.9,0
FLORES,Lesiones Seg Vial,2017-12-23 11:45:00,POINT (-58.4685 -34.6333),"ALBERDI, JUAN BAUTISTA AV. 2895",1.9,0
FLORESTA,Lesiones Seg Vial,2017-12-23 22:00:00,POINT (-58.4869 -34.6304),AVELLANEDA 4215,4.5,0
MONSERRAT,Lesiones Seg Vial,2017-12-23 19:30:00,POINT (-58.3672 -34.6122),BELGRANO AV. 10,6.2,1
ALMAGRO,Lesiones Seg Vial,2017-12-23 18:47:00,POINT (-58.4173 -34.611),MAZA 15,7.5,1
CABALLITO,Lesiones Seg Vial,2017-12-23 21:00:00,POINT (-58.439 -34.609),DIAZ VELEZ AV. 5110,18.6,0
CABALLITO,Lesiones Seg Vial,2017-12-23 14:00:00,POINT (-58.4305 -34.6087),RIO DE JANEIRO 625,2.9,0
BALVANERA,Lesiones Seg Vial,2017-12-23 13:45:00,POINT (-58.4053 -34.6044),PUEYRREDON AV. 517,20.9,1
RECOLETA,Lesiones Seg Vial,2017-12-23 13:55:00,POINT (-58.3933 -34.5997),CORDOBA AV. 1818,33.4,0
RETIRO,Lesiones Seg Vial,2017-12-23 14:55:00,POINT (-58.3815 -34.5953),SANTA FE AV. 1002,6.7,0
PALERMO,Lesiones Seg Vial,2017-12-23 14:48:00,POINT (-58.4058 -34.5796),DEL LIBERTADOR AV. 2424,5.5,1
PALERMO,Lesiones Seg Vial,2017-12-23 13:27:00,POINT (-58.4069 -34.5787),DEL LIBERTADOR AV. 2568,2.6,1
BELGRANO,Lesiones Seg Vial,2017-12-23 01:30:00,POINT (-58.4481 -34.5571),JURAMENTO 1530,57.2,0
NUÑEZ,Lesiones Seg Vial,2017-12-23 19:50:00,POINT (-58.4719 -34.551),"LARRALDE, CRISOLOGO AV. 2805",2.7,0
FLORES,Homicidio Seg Vial,2017-12-22 13:15:00,POINT (-58.4708 -34.6278),NAZCA AV. 365,48.8,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-12-22 19:00:00,POINT (-58.4689 -34.656),"ALVAREZ, CRISOSTOMO 3992",2.3,0
LINIERS,Lesiones Seg Vial,2017-12-22 22:00:00,POINT (-58.5208 -34.6544),"CASTRO, EMILIO AV. 7329",1.0,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-12-22 08:00:00,POINT (-58.4686 -34.6542),"DELLEPIANE, LUIS, TTE. GRAL. 3890",39.1,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-12-22 21:15:00,POINT (-58.4073 -34.652),"TABORDA, DIOGENES 1198",0.6,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-12-22 19:00:00,POINT (-58.4005 -34.6362),CASEROS AV. 2710,0.8,0
FLORESTA,Lesiones Seg Vial,2017-12-22 14:00:00,POINT (-58.475 -34.6294),BACACAY 3231,37.3,0
FLORES,Lesiones Seg Vial,2017-12-22 15:30:00,POINT (-58.4555 -34.6293),"ALBERDI, JUAN BAUTISTA AV. 1901",3.1,0
CABALLITO,Lesiones Seg Vial,2017-12-22 23:00:00,POINT (-58.4493 -34.6279),ACHAVAL 296,4.0,0
FLORES,Lesiones Seg Vial,2017-12-22 13:30:00,POINT (-58.4743 -34.6272),HELGUERA 393,5.6,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-12-22 23:45:00,POINT (-58.3993 -34.6234),MATHEU 1197,2.0,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-12-22 06:00:00,POINT (-58.4091 -34.6224),"CALVO, CARLOS 3028",1.0,1
SAN CRISTOBAL,Lesiones Seg Vial,2017-12-22 13:15:00,POINT (-58.4032 -34.6198),ESTADOS UNIDOS 2691,1.1,0
FLORES,Lesiones Seg Vial,2017-12-22 20:34:00,POINT (-58.459 -34.618),"TRELLES, MANUEL R. 702",5.4,0
VILLA SANTA RITA,Lesiones Seg Vial,2017-12-22 13:25:00,POINT (-58.4752 -34.617),TERRADA 1392,4.0,0
ALMAGRO,Lesiones Seg Vial,2017-12-22 08:52:00,POINT (-58.417 -34.6157),BELGRANO AV. 3596,1.9,1
VILLA REAL,Lesiones Seg Vial,2017-12-22 18:00:00,POINT (-58.5258 -34.6145),COLIGUE 2901,2.3,0
ALMAGRO,Lesiones Seg Vial,2017-12-22 13:52:00,POINT (-58.4177 -34.6139),"YRIGOYEN, HIPOLITO AV. 3637",40.1,0
VILLA SANTA RITA,Lesiones Seg Vial,2017-12-22 19:15:00,POINT (-58.4912 -34.6121),ALVAREZ JONTE AV. 3500,3.6,0
BALVANERA,Lesiones Seg Vial,2017-12-22 12:37:00,POINT (-58.4104 -34.6091),"PERON, JUAN DOMINGO, TTE. GENERAL 3200",6.2,0
VILLA CRESPO,Lesiones Seg Vial,2017-12-22 17:30:00,POINT (-58.4541 -34.6014),"JUSTO, JUAN B. AV. 3501",9.7,0
PATERNAL,Lesiones Seg Vial,2017-12-22 16:30:00,POINT (-58.4662 -34.5996),"TRELLES, MANUEL R. AV. 2507",14.3,0
RETIRO,Lesiones Seg Vial,2017-12-22 18:00:00,POINT (-58.3714 -34.5984),CORDOBA AV. 299,8.2,0
BALVANERA,Lesiones Seg Vial,2017-12-22 19:00:00,POINT (-58.4103 -34.5981),AGUERO 1011,0.9,0
PALERMO,Lesiones Seg Vial,2017-12-22 14:30:00,POINT (-58.4214 -34.5966),"ACUÑA DE FIGUEROA, FRANCISCO 1293",16.7,1
VILLA DEVOTO,Lesiones Seg Vial,2017-12-22 09:30:00,POINT (-58.5109 -34.5917),SAN MARTIN AV. 6881,1.3,0
RECOLETA,Lesiones Seg Vial,2017-12-22 21:30:00,POINT (-58.3991 -34.5858),LAS HERAS GENERAL AV. 2492,4.3,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-12-22 06:15:00,POINT (-58.5077 -34.5846),HELGUERA 5097,11.1,0
PALERMO,Lesiones Seg Vial,2017-12-22 15:30:00,POINT (-58.4309 -34.5795),PARAGUAY 5196,6.0,0
PALERMO,Lesiones Seg Vial,2017-12-22 14:15:00,POINT (-58.4244 -34.579),SANTA FE AV. 4501,20.7,0
COLEGIALES,Lesiones Seg Vial,2017-12-22 17:00:00,POINT (-58.456 -34.5789),ALVAREZ THOMAS AV. 1007,2.9,0
PALERMO,Lesiones Seg Vial,2017-12-22 22:45:00,POINT (-58.433 -34.5731),"CAMPOS, LUIS M. AV. 357",46.7,0
NUÑEZ,Lesiones Seg Vial,2017-12-22 16:30:00,POINT (-58.4736 -34.5519),"LARRALDE, CRISOLOGO AV. 2993",5.5,0
NUÑEZ,Lesiones Seg Vial,2017-12-22 16:45:00,POINT (-58.4638 -34.5407),DEL LIBERTADOR AV. 8205,1.1,0
MATADEROS,Lesiones Seg Vial,2017-12-21 17:30:00,POINT (-58.5153 -34.6543),COSQUIN 1504,3.4,0
BARRACAS,Lesiones Seg Vial,2017-12-21 11:30:00,POINT (-58.3807 -34.6486),SANTA MAGDALENA 494,1.7,0
FLORES,Lesiones Seg Vial,2017-12-21 18:30:00,POINT (-58.4523 -34.6434),SANTANDER 2499,2.5,1
BOCA,Lesiones Seg Vial,2017-12-21 19:00:00,POINT (-58.3652 -34.6424),"QUINQUELA MARTIN, BENITO 999",2.3,0
BARRACAS,Lesiones Seg Vial,2017-12-21 10:30:00,POINT (-58.371 -34.6403),"JOVELLANOS, GASPAR M. DE 916",2.0,1
PARQUE CHACABUCO,Lesiones Seg Vial,2017-12-21 06:55:00,POINT (-58.4371 -34.6402),ZAÑARTU 1406,1.7,1
FLORES,Lesiones Seg Vial,2017-12-21 10:00:00,POINT (-58.4644 -34.6402),SAN PEDRITO 809,4.1,0
BARRACAS,Lesiones Seg Vial,2017-12-21 17:35:00,POINT (-58.379 -34.6383),BRANDSEN 2008,4.0,0
FLORES,Lesiones Seg Vial,2017-12-21 20:00:00,POINT (-58.4555 -34.6293),"ALBERDI, JUAN BAUTISTA AV. 1901",3.1,0
FLORESTA,Lesiones Seg Vial,2017-12-21 13:15:00,POINT (-58.4872 -34.6257),MERCEDES 894,9.7,0
BOCA,Lesiones Seg Vial,2017-12-21 16:43:00,POINT (-58.3468 -34.6246),ESPAÑA AV. 3091,78.6,0
CABALLITO,Lesiones Seg Vial,2017-12-21 11:30:00,POINT (-58.4347 -34.6219),"MORENO, JOSE MARIA AV. 354",78.2,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-12-21 16:59:00,POINT (-58.4032 -34.619),INDEPENDENCIA AV. 2676,27.6,1
MONSERRAT,Lesiones Seg Vial,2017-12-21 09:30:00,POINT (-58.3805 -34.613),"IRIGOYEN, BERNARDO DE 301",4.2,1
CABALLITO,Lesiones Seg Vial,2017-12-21 19:00:00,POINT (-58.4551 -34.6118),FRAGATA PRES. SARMIENTO 1104,31.4,0
CABALLITO,Lesiones Seg Vial,2017-12-21 22:23:00,POINT (-58.452 -34.6062),SAN MARTIN AV. 1596,2.5,0
ALMAGRO,Lesiones Seg Vial,2017-12-21 10:30:00,POINT (-58.4256 -34.6027),ESTADO DE PALESTINA 705,4.3,1
ALMAGRO,Lesiones Seg Vial,2017-12-21 10:30:00,POINT (-58.4256 -34.6027),ESTADO DE PALESTINA 705,4.3,1
RECOLETA,Lesiones Seg Vial,2017-12-21 20:11:00,POINT (-58.3989 -34.597),"URIBURU JOSE E., PRES. 1004",4.8,1
VILLA CRESPO,Lesiones Seg Vial,2017-12-21 19:31:00,POINT (-58.4391 -34.5921),URIARTE 906,2.6,1
RECOLETA,Lesiones Seg Vial,2017-12-21 20:03:00,POINT (-58.4009 -34.5909),PUEYRREDON AV. 1744,72.8,0
PALERMO,Lesiones Seg Vial,2017-12-21 11:45:00,POINT (-58.4107 -34.5883),SANTA FE AV. 3251,17.8,0
